device_id,os_type,control_name,expected,found
WIN-60952,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-60952,Windows,"Disable Legacy Protocols (NTLM v1, etc.)",Disabled,Non-compliant
WIN-60952,Windows,Disable Windows Telemetry,Disabled or minimized,Non-compliant
WIN-60952,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-46819,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-46819,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-46819,Windows,Enable Windows Defender Exploit Guard,Enabled,Non-compliant
WIN-46819,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-46819,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-46819,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-81163,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-81163,Windows,Disable LM & NTLM v1 Authentication,Disabled,Non-compliant
WIN-60036,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-60036,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-60036,Windows,Enable Windows Update Auto Download & Install,Enabled,Non-compliant
WIN-60036,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-60036,Windows,Disable Windows Remote Management (WinRM),Disabled,Non-compliant
WIN-10196,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-10196,Windows,Enable Windows Defender SmartScreen,Enabled,Non-compliant
WIN-10196,Windows,Disable Windows Script Host,Disabled,Non-compliant
WIN-10196,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-10196,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-95766,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-95766,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-32690,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-32690,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-32690,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-32690,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-32744,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-32744,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-32744,Windows,Enable Windows Defender SmartScreen,Enabled,Non-compliant
WIN-32744,Windows,Disable Windows Script Host,Disabled,Non-compliant
WIN-32744,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-48171,Windows,Disable LM & NTLM v1 Authentication,Disabled,Non-compliant
WIN-48171,Windows,Enable Audit of Privilege Use,Enabled,Non-compliant
WIN-48171,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-39495,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-39495,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-39495,Windows,Disable Local Administrator Account,Disabled,Non-compliant
WIN-39495,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-39495,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-39495,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-39495,Windows,Disable LM & NTLM v1 Authentication,Disabled,Non-compliant
WIN-39495,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-39332,Windows,Enforce Password Complexity,Enabled (Complex password),Non-compliant
WIN-39332,Windows,Enable Windows Defender Exploit Guard,Enabled,Non-compliant
WIN-39332,Windows,Disable SMB Signing Not Required,Enabled,Non-compliant
WIN-39332,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-39332,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-39332,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-52859,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-52859,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-52859,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-52859,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-52859,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-87655,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-87655,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-87655,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-87655,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-87655,Windows,Enable Windows Defender Application Control,Enabled,Non-compliant
WIN-87655,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-11331,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-11331,Windows,Enforce Password Complexity,Enabled (Complex password),Non-compliant
WIN-11331,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-11331,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-11331,Windows,Enable Windows Defender Application Control,Enabled,Non-compliant
WIN-11331,Windows,Disable Windows SMBv3 Compression,Disabled,Non-compliant
WIN-84215,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-84215,Windows,Disable Windows Script Host,Disabled,Non-compliant
WIN-84215,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-84215,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-84215,Windows,Enable Windows Defender Application Control,Enabled,Non-compliant
WIN-69716,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-69716,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-88280,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-88280,Windows,Disable Local Administrator Account,Disabled,Non-compliant
WIN-88280,Windows,Enable Windows Defender Exploit Guard,Enabled,Non-compliant
WIN-88280,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-88280,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-88280,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-23105,Windows,Enable Windows Defender SmartScreen,Enabled,Non-compliant
WIN-23105,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-23105,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-23105,Windows,Enable Audit of Privilege Use,Enabled,Non-compliant
WIN-23105,Windows,Disable Windows Telemetry,Disabled or minimized,Non-compliant
WIN-23105,Windows,Disable Windows SMBv3 Compression,Disabled,Non-compliant
WIN-23105,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-93140,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-93140,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-93140,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-93140,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-93140,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-93140,Windows,Disable LM & NTLM v1 Authentication,Disabled,Non-compliant
WIN-93140,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-95122,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-95122,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-95122,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-95122,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-19838,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-19838,Windows,Enable Windows Update Auto Download & Install,Enabled,Non-compliant
WIN-19838,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-19838,Windows,Disable LM & NTLM v1 Authentication,Disabled,Non-compliant
WIN-65597,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-65597,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-65597,Windows,Disable Local Administrator Account,Disabled,Non-compliant
WIN-65597,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-65597,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-65597,Windows,Disable Windows Remote Management (WinRM),Disabled,Non-compliant
WIN-11742,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-11742,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-11742,Windows,Enable Audit of Privilege Use,Enabled,Non-compliant
WIN-11742,Windows,Disable Windows Remote Management (WinRM),Disabled,Non-compliant
WIN-11742,Windows,Disable Windows Telemetry,Disabled or minimized,Non-compliant
WIN-11742,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-82208,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-82208,Windows,Enable Windows Defender Exploit Guard,Enabled,Non-compliant
WIN-82208,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-82208,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-82208,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-82208,Windows,Disable SMB Direct,Disabled,Non-compliant
WIN-82208,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-82208,Windows,Enable Windows Defender Application Control,Enabled,Non-compliant
WIN-19180,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-19180,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-19180,Windows,Enable Audit of Privilege Use,Enabled,Non-compliant
WIN-64017,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-64017,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-64017,Windows,Disable Local Administrator Account,Disabled,Non-compliant
WIN-64017,Windows,Enable Windows Defender SmartScreen,Enabled,Non-compliant
WIN-64017,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-64017,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-54299,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-54299,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-54299,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-54299,Windows,Disable SMB Direct,Disabled,Non-compliant
WIN-57871,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-57871,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-57871,Windows,Enable Audit of Privilege Use,Enabled,Non-compliant
WIN-57871,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-59538,Windows,Enable Windows Defender SmartScreen,Enabled,Non-compliant
WIN-59538,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-59538,Windows,Disable SMB Signing Not Required,Enabled,Non-compliant
WIN-59538,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-59538,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-40877,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-40877,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-40877,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-40877,Windows,Enable Windows Defender Exploit Guard,Enabled,Non-compliant
WIN-40877,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-40877,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-40877,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-40877,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-57712,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-57712,Windows,Disable LM & NTLM v1 Authentication,Disabled,Non-compliant
WIN-57712,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-74649,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-74649,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-74649,Windows,"Disable Legacy Protocols (NTLM v1, etc.)",Disabled,Non-compliant
WIN-74649,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-57552,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-57552,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-57552,Windows,Disable Local Administrator Account,Disabled,Non-compliant
WIN-57552,Windows,"Disable Legacy Protocols (NTLM v1, etc.)",Disabled,Non-compliant
WIN-57552,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-16356,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-16356,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-16356,Windows,Disable Windows Script Host,Disabled,Non-compliant
WIN-16356,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-16356,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-16356,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-53106,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-53106,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-53106,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-53106,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-72736,Windows,Disable Local Administrator Account,Disabled,Non-compliant
WIN-72736,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-72736,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-72736,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-70496,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-70496,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-70496,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-70496,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-70496,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-70496,Windows,"Disable Legacy Protocols (NTLM v1, etc.)",Disabled,Non-compliant
WIN-70496,Windows,Enable Windows Defender Application Control,Enabled,Non-compliant
WIN-77616,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-77616,Windows,Enable Windows Defender Exploit Guard,Enabled,Non-compliant
WIN-77616,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-77616,Windows,Enable Windows Update Auto Download & Install,Enabled,Non-compliant
WIN-77616,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-77616,Windows,Disable LM & NTLM v1 Authentication,Disabled,Non-compliant
WIN-77616,Windows,Disable Windows Remote Management (WinRM),Disabled,Non-compliant
WIN-77616,Windows,Disable Windows Telemetry,Disabled or minimized,Non-compliant
WIN-77616,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-12097,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-12097,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-12097,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-12097,Windows,Disable Local Administrator Account,Disabled,Non-compliant
WIN-12097,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-12097,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-43773,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-43773,Windows,Disable Windows Script Host,Disabled,Non-compliant
WIN-43773,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-43773,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-43773,Windows,Enable Audit of Privilege Use,Enabled,Non-compliant
WIN-43773,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-36888,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-36888,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-36888,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-36888,Windows,Disable Windows Script Host,Disabled,Non-compliant
WIN-16061,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-16061,Windows,Disable Windows Telemetry,Disabled or minimized,Non-compliant
WIN-34779,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-34779,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-34779,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-34779,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-83657,Windows,Enable Windows Defender Exploit Guard,Enabled,Non-compliant
WIN-83657,Windows,Disable SMB Signing Not Required,Enabled,Non-compliant
WIN-83657,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-83657,Windows,"Disable Legacy Protocols (NTLM v1, etc.)",Disabled,Non-compliant
WIN-83657,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-84527,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-84527,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-67746,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-67746,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-67746,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-67746,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-36063,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-36063,Windows,Disable Local Administrator Account,Disabled,Non-compliant
WIN-36063,Windows,Enforce Password Complexity,Enabled (Complex password),Non-compliant
WIN-36063,Windows,Enable Windows Defender SmartScreen,Enabled,Non-compliant
WIN-36063,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-36063,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-36063,Windows,Disable SMB Signing Not Required,Enabled,Non-compliant
WIN-36063,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-36063,Windows,Disable LM & NTLM v1 Authentication,Disabled,Non-compliant
WIN-36063,Windows,"Disable Legacy Protocols (NTLM v1, etc.)",Disabled,Non-compliant
WIN-36063,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-61732,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-61732,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-61732,Windows,Disable SMB Signing Not Required,Enabled,Non-compliant
WIN-61732,Windows,Enable Windows Update Auto Download & Install,Enabled,Non-compliant
WIN-61732,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-61732,Windows,"Disable Legacy Protocols (NTLM v1, etc.)",Disabled,Non-compliant
WIN-86107,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-86107,Windows,Enforce Password Complexity,Enabled (Complex password),Non-compliant
WIN-86107,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-86107,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-86107,Windows,Disable LM & NTLM v1 Authentication,Disabled,Non-compliant
WIN-76108,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-76108,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-76108,Windows,Disable Windows Telemetry,Disabled or minimized,Non-compliant
WIN-76108,Windows,Enable Windows Defender Application Control,Enabled,Non-compliant
WIN-76108,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-76108,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-22234,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-22234,Windows,Enforce Password Complexity,Enabled (Complex password),Non-compliant
WIN-22234,Windows,Enable Windows Defender Exploit Guard,Enabled,Non-compliant
WIN-22234,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-22234,Windows,Disable Windows Remote Management (WinRM),Disabled,Non-compliant
WIN-35436,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-35436,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-35436,Windows,Disable SMB Signing Not Required,Enabled,Non-compliant
WIN-35436,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-35436,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-35436,Windows,Disable LM & NTLM v1 Authentication,Disabled,Non-compliant
WIN-35436,Windows,"Disable Legacy Protocols (NTLM v1, etc.)",Disabled,Non-compliant
WIN-35436,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-35436,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-16844,Windows,Disable Windows Script Host,Disabled,Non-compliant
WIN-16844,Windows,Disable Remote Desktop for Non-Admins,Disabled or restricted,Non-compliant
WIN-16844,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-30014,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-37429,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-37429,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-37429,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-37429,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-37429,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-97253,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-97253,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-97253,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-97253,Windows,Disable Windows Telemetry,Disabled or minimized,Non-compliant
WIN-76614,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-76614,Windows,Enforce Password Complexity,Enabled (Complex password),Non-compliant
WIN-76614,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-76614,Windows,Enable Audit of Privilege Use,Enabled,Non-compliant
WIN-76614,Windows,Disable Windows Telemetry,Disabled or minimized,Non-compliant
WIN-76614,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-76614,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-91215,Windows,Enable Windows Defender SmartScreen,Enabled,Non-compliant
WIN-91215,Windows,Disable Windows Script Host,Disabled,Non-compliant
WIN-91215,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-91215,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-91215,Windows,Disable Windows Remote Management (WinRM),Disabled,Non-compliant
WIN-91215,Windows,Disable Windows SMBv3 Compression,Disabled,Non-compliant
WIN-91215,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-82282,Windows,Disable SMB Signing Not Required,Enabled,Non-compliant
WIN-82282,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-82282,Windows,Disable Windows Remote Management (WinRM),Disabled,Non-compliant
WIN-82282,Windows,"Disable Legacy Protocols (NTLM v1, etc.)",Disabled,Non-compliant
WIN-82282,Windows,Enable Windows Defender Application Control,Enabled,Non-compliant
WIN-82282,Windows,Disable Windows SMBv3 Compression,Disabled,Non-compliant
WIN-33987,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-33987,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-33987,Windows,"Disable Legacy Protocols (NTLM v1, etc.)",Disabled,Non-compliant
WIN-33987,Windows,Disable Windows Telemetry,Disabled or minimized,Non-compliant
WIN-33987,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-15826,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-15826,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-15826,Windows,Disable Windows SMBv3 Compression,Disabled,Non-compliant
WIN-38472,Windows,Enable Windows Defender Firewall,Enabled (All profiles),Non-compliant
WIN-38472,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-38472,Windows,Enforce Password Complexity,Enabled (Complex password),Non-compliant
WIN-38472,Windows,Disable SMB Signing Not Required,Enabled,Non-compliant
WIN-38472,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-49955,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-49955,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-49955,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-49955,Windows,Enable Windows Defender Network Protection,Enabled,Non-compliant
WIN-86230,Windows,Enforce MFA for User Sign-in,Enforced,Non-compliant
WIN-86230,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-86230,Windows,Disable Windows Remote Management (WinRM),Disabled,Non-compliant
WIN-86230,Windows,Disable Windows SMBv3 Compression,Disabled,Non-compliant
WIN-46229,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
